Week,Monday,Tuesday,Wednesday,Thursday,Friday
1,15,19,21,19,13
2,18,15,14,15,17
3,18,18,14,21,15
4,17,13,20,18,16
5,7,20,16,10,14
6,14,10,22,21,16
7,12,11,20,21,19
8,20,16,20,14,12
9,13,16,18,19,14
10,17,14,21,17,21
11,12,13,22,16,18
12,17,19,18,16,16
13,13,20,21,15,21
14,23,19,16,12,16
15,14,18,16,9,21
16,18,18,16,18,11
17,14,16,17,16,14
18,17,16,20,25,17
19,11,15,16,16,18
20,17,17,14,17,16
21,20,11,15,16,18
22,21,23,21,17,14
23,12,17,19,3,22
24,21,20,24,16,18
25,16,15,20,17,14
26,20,15,20,19,19
27,19,14,16,20,22
28,14,20,19,12,13
29,11,16,17,11,12
30,24,15,20,19,17
31,17,11,21,17,16
32,13,15,22,21,16
33,13,18,20,18,13
34,16,11,17,10,15
35,14,14,18,15,17
36,11,23,20,17,17
37,13,12,17,15,17
38,19,19,16,16,11
39,12,15,13,11,15
40,11,14,16,13,19
41,16,19,25,21,16
42,17,15,24,16,19
43,13,16,12,20,10
44,15,17,18,23,17
45,8,18,17,23,20
46,18,18,17,13,20
47,27,20,19,17,18
48,25,23,26,15,15
49,24,25,19,21,23
50,24,20,28,23,15
51,7,31,19,22,23
52,23,25,32,23,26
53,23,29,20,22,21
54,18,19,25,26,23
55,14,18,20,24,24
56,35,15,16,28,22
57,13,13,19,18,27
58,27,14,19,21,21
59,9,17,15,12,15
